药材名称,规格等级,单位,1月价格,2月价格,3月价格,4月价格,5月价格,6月价格,价格来源,趋势分析
金银花,"统货,河南产",元/kg,125.0,126.5,124.0,130.0,138.0,133.5,亳州中药材市场,↑ 受产地减产影响，4月起持续上涨
黄芩提取物,"提取物,山西产",元/kg,45.0,45.5,44.5,46.0,47.0,46.5,安国中药材市场,→ 基本平稳，小幅波动
板蓝根,"统货,甘肃产",元/kg,28.0,28.5,27.5,29.5,32.0,30.5,亳州中药材市场,↑ 5月因流感季需求增加上涨
熟地黄,"统货,河南产",元/kg,38.0,38.5,37.5,39.0,40.5,39.5,亳州中药材市场,↑ 产地加工成本上升
山茱萸,"统货,陕西产",元/kg,52.0,53.0,51.0,54.0,56.0,54.5,安国中药材市场,↑ 库存偏低推动上涨
山药,"统货,河南产",元/kg,32.0,32.5,31.5,33.0,34.0,33.0,亳州中药材市场,→ 供需平衡，小幅波动
泽泻,"统货,四川产",元/kg,18.0,18.5,17.8,18.5,19.0,18.5,成都中药材市场,→ 基本稳定
茯苓,"统货,安徽产",元/kg,25.0,25.5,24.5,25.5,26.5,25.5,亳州中药材市场,→ 小幅波动
牡丹皮,"统货,安徽产",元/kg,35.0,35.5,34.5,36.0,37.0,36.0,亳州中药材市场,→ 基本平稳
蔗糖,"一级,广西产",元/kg,6.8,6.85,6.75,6.9,7.0,6.88,广西糖网,→ 国际糖价传导，小幅波动
糊精,药用级,元/kg,12.0,12.0,11.8,12.2,12.5,12.3,化工原料网,→ 小幅上涨
空心胶囊,0# 药用明胶,元/万粒,85.0,85.0,84.0,86.0,87.0,86.0,胶囊行业协会,→ 基本稳定
苯甲酸钠,药用级,元/kg,22.0,22.0,21.5,22.5,23.0,22.5,化工原料网,→ 小幅波动
