工厂,产品名称,产品规格,月份,产量(盒),直接人工总额(元),总工时(小时),生产人数(人),工作天数(天)
中药一厂,银黄口服液,10ml×10支/盒,2026-01,45000,68400.0,1344,8,21
中药一厂,银黄口服液,10ml×10支/盒,2026-02,38000,58900.0,1024,8,16
中药一厂,银黄口服液,10ml×10支/盒,2026-03,52000,76960.0,1408,8,22
中药一厂,银黄口服液,10ml×10支/盒,2026-04,55000,82500.0,1408,8,22
中药一厂,银黄口服液,10ml×10支/盒,2026-05,58000,88740.0,1344,8,21
中药一厂,银黄口服液,10ml×10支/盒,2026-06,50000,75000.0,1344,8,21
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-01,85000,89250.0,1680,10,21
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-02,72000,77760.0,1280,10,16
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-03,95000,96900.0,1760,10,22
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-04,98000,101920.0,1760,10,22
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-05,102000,108120.0,1680,10,21
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-06,90000,93600.0,1680,10,21
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-01,32000,67200.0,2016,12,21
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-02,28000,60200.0,1536,12,16
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-03,35000,71750.0,2112,12,22
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-04,38000,79040.0,2112,12,22
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-05,40000,84800.0,2016,12,21
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-06,35000,72800.0,2016,12,21
