工厂,产品名称,产品规格,月份,产量(盒),直接材料(元/盒),直接人工(元/盒),制造费用(元/盒),单位成本(元/盒),总成本(元)
中药一厂,银黄口服液,10ml×10支/盒,2026-01,45000,6.83,1.52,2.35,10.7,481500.0
中药一厂,银黄口服液,10ml×10支/盒,2026-02,38000,6.92,1.55,2.4,10.87,413060.0
中药一厂,银黄口服液,10ml×10支/盒,2026-03,52000,6.77,1.48,2.28,10.53,547560.0
中药一厂,银黄口服液,10ml×10支/盒,2026-04,55000,7.08,1.5,2.32,10.9,599500.0
中药一厂,银黄口服液,10ml×10支/盒,2026-05,58000,7.3,1.53,2.38,11.21,650180.0
中药一厂,银黄口服液,10ml×10支/盒,2026-06,50000,7.13,1.5,2.3,10.93,546500.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-01,85000,4.42,1.05,1.65,7.12,605200.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-02,72000,4.49,1.08,1.68,7.25,522000.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-03,95000,4.34,1.02,1.6,6.96,661200.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-04,98000,4.57,1.04,1.63,7.24,709520.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-05,102000,4.75,1.06,1.66,7.47,761940.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-06,90000,4.6,1.04,1.62,7.26,653400.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-01,32000,12.18,2.1,3.05,17.33,554560.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-02,28000,12.35,2.15,3.1,17.6,492800.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-03,35000,11.99,2.05,2.98,17.02,595700.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-04,38000,12.54,2.08,3.02,17.64,670320.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-05,40000,12.89,2.12,3.08,18.09,723600.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-06,35000,12.49,2.08,3.0,17.57,614950.0
