工厂,产品名称,产品规格,月份,预算产量(盒),预算直接材料(元/盒),预算直接人工(元/盒),预算制造费用(元/盒),预算单位成本(元/盒),预算总成本(元)
中药一厂,银黄口服液,10ml×10支/盒,2026-01,50000,6.8,1.5,2.3,10.6,530000.0
中药一厂,银黄口服液,10ml×10支/盒,2026-02,50000,6.8,1.5,2.3,10.6,530000.0
中药一厂,银黄口服液,10ml×10支/盒,2026-03,50000,6.8,1.5,2.3,10.6,530000.0
中药一厂,银黄口服液,10ml×10支/盒,2026-04,50000,6.8,1.5,2.3,10.6,530000.0
中药一厂,银黄口服液,10ml×10支/盒,2026-05,50000,6.8,1.5,2.3,10.6,530000.0
中药一厂,银黄口服液,10ml×10支/盒,2026-06,50000,6.8,1.5,2.3,10.6,530000.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-01,90000,4.38,1.02,1.6,7.0,630000.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-02,90000,4.38,1.02,1.6,7.0,630000.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-03,90000,4.38,1.02,1.6,7.0,630000.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-04,90000,4.38,1.02,1.6,7.0,630000.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-05,90000,4.38,1.02,1.6,7.0,630000.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-06,90000,4.38,1.02,1.6,7.0,630000.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-01,35000,12.1,2.06,2.94,17.1,598500.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-02,35000,12.1,2.06,2.94,17.1,598500.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-03,35000,12.1,2.06,2.94,17.1,598500.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-04,35000,12.1,2.06,2.94,17.1,598500.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-05,35000,12.1,2.06,2.94,17.1,598500.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-06,35000,12.1,2.06,2.94,17.1,598500.0
