工厂,产品名称,产品规格,月份,产量(盒),直接材料(元/盒),直接人工(元/盒),制造费用(元/盒),单位成本(元/盒),总成本(元)
中药二厂,银黄口服液,10ml×10支/盒,2026-01,38000,6.84,1.72,2.55,11.11,422180.0
中药二厂,银黄口服液,10ml×10支/盒,2026-02,32000,6.94,1.75,2.6,11.29,361280.0
中药二厂,银黄口服液,10ml×10支/盒,2026-03,42000,6.77,1.68,2.48,10.93,459060.0
中药二厂,银黄口服液,10ml×10支/盒,2026-04,45000,7.09,1.7,2.52,11.31,508950.0
中药二厂,银黄口服液,10ml×10支/盒,2026-05,48000,7.29,1.73,2.58,11.6,556800.0
中药二厂,银黄口服液,10ml×10支/盒,2026-06,42000,7.11,1.7,2.5,11.31,475020.0
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-01,68000,4.64,1.18,1.82,7.64,519520.0
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-02,58000,4.71,1.21,1.85,7.77,450660.0
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-03,72000,4.56,1.15,1.77,7.48,538560.0
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-04,75000,4.79,1.17,1.8,7.76,582000.0
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-05,78000,4.95,1.19,1.83,7.97,621660.0
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-06,70000,4.8,1.17,1.79,7.76,543200.0
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-01,25000,12.85,2.35,3.35,18.55,463750.0
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-02,22000,13.02,2.4,3.4,18.82,414040.0
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-03,28000,12.62,2.28,3.28,18.18,509040.0
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-04,30000,13.21,2.32,3.32,18.85,565500.0
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-05,32000,13.55,2.36,3.38,19.29,617280.0
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-06,28000,13.15,2.32,3.3,18.77,525560.0
