工厂,产品名称,产品规格,月份,产量(盒),直接人工总额(元),总工时(小时),生产人数(人),工作天数(天)
中药二厂,银黄口服液,10ml×10支/盒,2026-01,38000,65360.00,1021,8,21
中药二厂,银黄口服液,10ml×10支/盒,2026-02,32000,56000.00,860,8,21
中药二厂,银黄口服液,10ml×10支/盒,2026-03,42000,70560.00,1129,8,21
中药二厂,银黄口服液,10ml×10支/盒,2026-04,45000,76500.00,1210,8,21
中药二厂,银黄口服液,10ml×10支/盒,2026-05,48000,83040.00,1290,8,21
中药二厂,银黄口服液,10ml×10支/盒,2026-06,42000,71400.00,1129,8,21
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-01,68000,80240.00,1269,10,21
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-02,58000,70180.00,1083,10,21
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-03,72000,82800.00,1344,10,21
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-04,75000,87750.00,1400,10,21
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-05,78000,92820.00,1456,10,21
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-06,70000,81900.00,1307,10,21
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-01,25000,58750.00,1440,12,21
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-02,22000,52800.00,1267,12,21
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-03,28000,63840.00,1613,12,21
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-04,30000,69600.00,1728,12,21
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-05,32000,75520.00,1843,12,21
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-06,28000,64960.00,1613,12,21
中药二厂,银黄口服液,10ml×10支/盒,2025-01,36000,61200.00,968,8,21
中药二厂,银黄口服液,10ml×10支/盒,2025-02,30400,52592.00,817,8,21
中药二厂,银黄口服液,10ml×10支/盒,2025-03,39900,66234.00,1073,8,21
中药二厂,银黄口服液,10ml×10支/盒,2025-04,42800,71904.00,1150,8,21
中药二厂,银黄口服液,10ml×10支/盒,2025-05,45600,77976.00,1226,8,21
中药二厂,银黄口服液,10ml×10支/盒,2025-06,39900,67032.00,1073,8,21
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-01,64600,74936.00,1206,10,21
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-02,55100,65569.00,1029,10,21
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-03,68400,77292.00,1277,10,21
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-04,71300,81995.00,1331,10,21
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-05,74100,86697.00,1383,10,21
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-06,66500,76475.00,1241,10,21
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-01,23800,55454.00,1371,12,21
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-02,20900,49742.00,1204,12,21
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-03,26600,60116.00,1532,12,21
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-04,28500,65550.00,1642,12,21
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-05,30400,71136.00,1751,12,21
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-06,26600,61180.00,1532,12,21
