工厂,产品名称,产品规格,月份,产量(盒),费用类别,单位费用(元/盒),费用总额(元)
中药二厂,银黄口服液,10ml×10支/盒,2026-01,38000,折旧费,0.89,33820.00
中药二厂,银黄口服液,10ml×10支/盒,2026-01,38000,动力费(水电气),0.60,22800.00
中药二厂,银黄口服液,10ml×10支/盒,2026-01,38000,人工(间接),0.52,19760.00
中药二厂,银黄口服液,10ml×10支/盒,2026-01,38000,检验费,0.28,10640.00
中药二厂,银黄口服液,10ml×10支/盒,2026-01,38000,其他制造费用,0.26,9880.00
中药二厂,银黄口服液,10ml×10支/盒,2026-02,32000,折旧费,0.90,28800.00
中药二厂,银黄口服液,10ml×10支/盒,2026-02,32000,动力费(水电气),0.61,19520.00
中药二厂,银黄口服液,10ml×10支/盒,2026-02,32000,人工(间接),0.53,16960.00
中药二厂,银黄口服液,10ml×10支/盒,2026-02,32000,检验费,0.28,8960.00
中药二厂,银黄口服液,10ml×10支/盒,2026-02,32000,其他制造费用,0.28,8960.00
中药二厂,银黄口服液,10ml×10支/盒,2026-03,42000,折旧费,0.86,36120.00
中药二厂,银黄口服液,10ml×10支/盒,2026-03,42000,动力费(水电气),0.58,24360.00
中药二厂,银黄口服液,10ml×10支/盒,2026-03,42000,人工(间接),0.51,21420.00
中药二厂,银黄口服液,10ml×10支/盒,2026-03,42000,检验费,0.27,11340.00
中药二厂,银黄口服液,10ml×10支/盒,2026-03,42000,其他制造费用,0.26,10920.00
中药二厂,银黄口服液,10ml×10支/盒,2026-04,45000,折旧费,0.88,39600.00
中药二厂,银黄口服液,10ml×10支/盒,2026-04,45000,动力费(水电气),0.59,26550.00
中药二厂,银黄口服液,10ml×10支/盒,2026-04,45000,人工(间接),0.51,22950.00
中药二厂,银黄口服液,10ml×10支/盒,2026-04,45000,检验费,0.27,12150.00
中药二厂,银黄口服液,10ml×10支/盒,2026-04,45000,其他制造费用,0.27,12150.00
中药二厂,银黄口服液,10ml×10支/盒,2026-05,48000,折旧费,0.90,43200.00
中药二厂,银黄口服液,10ml×10支/盒,2026-05,48000,动力费(水电气),0.61,29280.00
中药二厂,银黄口服液,10ml×10支/盒,2026-05,48000,人工(间接),0.53,25440.00
中药二厂,银黄口服液,10ml×10支/盒,2026-05,48000,检验费,0.28,13440.00
中药二厂,银黄口服液,10ml×10支/盒,2026-05,48000,其他制造费用,0.26,12480.00
中药二厂,银黄口服液,10ml×10支/盒,2026-06,42000,折旧费,0.87,36540.00
中药二厂,银黄口服液,10ml×10支/盒,2026-06,42000,动力费(水电气),0.59,24780.00
中药二厂,银黄口服液,10ml×10支/盒,2026-06,42000,人工(间接),0.51,21420.00
中药二厂,银黄口服液,10ml×10支/盒,2026-06,42000,检验费,0.27,11340.00
中药二厂,银黄口服液,10ml×10支/盒,2026-06,42000,其他制造费用,0.26,10920.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-01,68000,折旧费,0.61,41480.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-01,68000,动力费(水电气),0.46,31280.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-01,68000,人工(间接),0.36,24480.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-01,68000,检验费,0.20,13600.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-01,68000,其他制造费用,0.19,12920.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-02,58000,折旧费,0.62,35960.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-02,58000,动力费(水电气),0.47,27260.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-02,58000,人工(间接),0.37,21460.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-02,58000,检验费,0.21,12180.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-02,58000,其他制造费用,0.18,10440.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-03,72000,折旧费,0.59,42480.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-03,72000,动力费(水电气),0.45,32400.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-03,72000,人工(间接),0.35,25200.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-03,72000,检验费,0.20,14400.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-03,72000,其他制造费用,0.18,12960.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-04,75000,折旧费,0.60,45000.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-04,75000,动力费(水电气),0.46,34500.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-04,75000,人工(间接),0.36,27000.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-04,75000,检验费,0.20,15000.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-04,75000,其他制造费用,0.18,13500.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-05,78000,折旧费,0.61,47580.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-05,78000,动力费(水电气),0.46,35880.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-05,78000,人工(间接),0.36,28080.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-05,78000,检验费,0.20,15600.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-05,78000,其他制造费用,0.20,15600.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-06,70000,折旧费,0.60,42000.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-06,70000,动力费(水电气),0.45,31500.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-06,70000,人工(间接),0.35,24500.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-06,70000,检验费,0.20,14000.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-06,70000,其他制造费用,0.19,13300.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-01,25000,折旧费,1.15,28750.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-01,25000,动力费(水电气),0.79,19750.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-01,25000,人工(间接),0.64,16000.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-01,25000,检验费,0.39,9750.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-01,25000,其他制造费用,0.38,9500.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-02,22000,折旧费,1.17,25740.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-02,22000,动力费(水电气),0.80,17600.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-02,22000,人工(间接),0.65,14300.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-02,22000,检验费,0.40,8800.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-02,22000,其他制造费用,0.38,8360.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-03,28000,折旧费,1.13,31640.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-03,28000,动力费(水电气),0.78,21840.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-03,28000,人工(间接),0.62,17360.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-03,28000,检验费,0.38,10640.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-03,28000,其他制造费用,0.37,10360.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-04,30000,折旧费,1.14,34200.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-04,30000,动力费(水电气),0.79,23700.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-04,30000,人工(间接),0.63,18900.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-04,30000,检验费,0.39,11700.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-04,30000,其他制造费用,0.37,11100.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-05,32000,折旧费,1.16,37120.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-05,32000,动力费(水电气),0.80,25600.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-05,32000,人工(间接),0.64,20480.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-05,32000,检验费,0.39,12480.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-05,32000,其他制造费用,0.39,12480.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-06,28000,折旧费,1.13,31640.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-06,28000,动力费(水电气),0.78,21840.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-06,28000,人工(间接),0.63,17640.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-06,28000,检验费,0.39,10920.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-06,28000,其他制造费用,0.37,10360.00
中药二厂,银黄口服液,10ml×10支/盒,2025-01,36000,折旧费,0.88,31680.00
中药二厂,银黄口服液,10ml×10支/盒,2025-01,36000,动力费(水电气),0.59,21240.00
中药二厂,银黄口服液,10ml×10支/盒,2025-01,36000,人工(间接),0.51,18360.00
中药二厂,银黄口服液,10ml×10支/盒,2025-01,36000,检验费,0.27,9720.00
中药二厂,银黄口服液,10ml×10支/盒,2025-01,36000,其他制造费用,0.27,9720.00
中药二厂,银黄口服液,10ml×10支/盒,2025-02,30400,折旧费,0.90,27360.00
中药二厂,银黄口服液,10ml×10支/盒,2025-02,30400,动力费(水电气),0.61,18544.00
中药二厂,银黄口服液,10ml×10支/盒,2025-02,30400,人工(间接),0.53,16112.00
中药二厂,银黄口服液,10ml×10支/盒,2025-02,30400,检验费,0.28,8512.00
中药二厂,银黄口服液,10ml×10支/盒,2025-02,30400,其他制造费用,0.26,7904.00
