工厂,产品名称,产品规格,月份,产量(盒),原材料名称,单位消耗成本(元/盒),原材料总成本(元),占总材料成本比例
中药二厂,银黄口服液,10ml×10支/盒,2026-01,38000,金银花,3.26,123880.00,47.66%
中药二厂,银黄口服液,10ml×10支/盒,2026-01,38000,黄芩提取物,2.09,79420.00,30.56%
中药二厂,银黄口服液,10ml×10支/盒,2026-01,38000,蔗糖,0.44,16720.00,6.43%
中药二厂,银黄口服液,10ml×10支/盒,2026-01,38000,苯甲酸钠,0.14,5320.00,2.05%
中药二厂,银黄口服液,10ml×10支/盒,2026-01,38000,纯化水,0.08,3040.00,1.17%
中药二厂,银黄口服液,10ml×10支/盒,2026-01,38000,包装材料(盒+说明书),0.83,31540.00,12.13%
中药二厂,银黄口服液,10ml×10支/盒,2026-02,32000,金银花,3.31,105920.00,47.69%
中药二厂,银黄口服液,10ml×10支/盒,2026-02,32000,黄芩提取物,2.12,67840.00,30.55%
中药二厂,银黄口服液,10ml×10支/盒,2026-02,32000,蔗糖,0.45,14400.00,6.48%
中药二厂,银黄口服液,10ml×10支/盒,2026-02,32000,苯甲酸钠,0.15,4800.00,2.16%
中药二厂,银黄口服液,10ml×10支/盒,2026-02,32000,纯化水,0.08,2560.00,1.15%
中药二厂,银黄口服液,10ml×10支/盒,2026-02,32000,包装材料(盒+说明书),0.83,26560.00,11.96%
中药二厂,银黄口服液,10ml×10支/盒,2026-03,42000,金银花,3.23,135660.00,47.71%
中药二厂,银黄口服液,10ml×10支/盒,2026-03,42000,黄芩提取物,2.07,86940.00,30.58%
中药二厂,银黄口服液,10ml×10支/盒,2026-03,42000,蔗糖,0.44,18480.00,6.50%
中药二厂,银黄口服液,10ml×10支/盒,2026-03,42000,苯甲酸钠,0.14,5880.00,2.07%
中药二厂,银黄口服液,10ml×10支/盒,2026-03,42000,纯化水,0.08,3360.00,1.18%
中药二厂,银黄口服液,10ml×10支/盒,2026-03,42000,包装材料(盒+说明书),0.81,34020.00,11.96%
中药二厂,银黄口服液,10ml×10支/盒,2026-04,45000,金银花,3.38,152100.00,47.67%
中药二厂,银黄口服液,10ml×10支/盒,2026-04,45000,黄芩提取物,2.17,97650.00,30.61%
中药二厂,银黄口服液,10ml×10支/盒,2026-04,45000,蔗糖,0.46,20700.00,6.49%
中药二厂,银黄口服液,10ml×10支/盒,2026-04,45000,苯甲酸钠,0.15,6750.00,2.12%
中药二厂,银黄口服液,10ml×10支/盒,2026-04,45000,纯化水,0.08,3600.00,1.13%
中药二厂,银黄口服液,10ml×10支/盒,2026-04,45000,包装材料(盒+说明书),0.85,38250.00,11.99%
中药二厂,银黄口服液,10ml×10支/盒,2026-05,48000,金银花,3.48,167040.00,47.74%
中药二厂,银黄口服液,10ml×10支/盒,2026-05,48000,黄芩提取物,2.23,107040.00,30.59%
中药二厂,银黄口服液,10ml×10支/盒,2026-05,48000,蔗糖,0.47,22560.00,6.45%
中药二厂,银黄口服液,10ml×10支/盒,2026-05,48000,苯甲酸钠,0.15,7200.00,2.06%
中药二厂,银黄口服液,10ml×10支/盒,2026-05,48000,纯化水,0.08,3840.00,1.10%
中药二厂,银黄口服液,10ml×10支/盒,2026-05,48000,包装材料(盒+说明书),0.88,42240.00,12.07%
中药二厂,银黄口服液,10ml×10支/盒,2026-06,42000,金银花,3.39,142380.00,47.68%
中药二厂,银黄口服液,10ml×10支/盒,2026-06,42000,黄芩提取物,2.17,91140.00,30.52%
中药二厂,银黄口服液,10ml×10支/盒,2026-06,42000,蔗糖,0.46,19320.00,6.47%
中药二厂,银黄口服液,10ml×10支/盒,2026-06,42000,苯甲酸钠,0.15,6300.00,2.11%
中药二厂,银黄口服液,10ml×10支/盒,2026-06,42000,纯化水,0.08,3360.00,1.13%
中药二厂,银黄口服液,10ml×10支/盒,2026-06,42000,包装材料(盒+说明书),0.86,36120.00,12.10%
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-01,68000,板蓝根,2.98,202640.00,64.22%
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-01,68000,蔗糖,0.56,38080.00,12.07%
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-01,68000,糊精,0.36,24480.00,7.76%
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-01,68000,包装材料(复合膜袋+纸盒),0.74,50320.00,15.95%
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-02,58000,板蓝根,3.02,175160.00,64.12%
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-02,58000,蔗糖,0.57,33060.00,12.10%
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-02,58000,糊精,0.37,21460.00,7.86%
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-02,58000,包装材料(复合膜袋+纸盒),0.75,43500.00,15.92%
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-03,72000,板蓝根,2.92,210240.00,64.04%
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-03,72000,蔗糖,0.56,40320.00,12.28%
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-03,72000,糊精,0.36,25920.00,7.89%
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-03,72000,包装材料(复合膜袋+纸盒),0.72,51840.00,15.79%
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-04,75000,板蓝根,3.07,230250.00,64.09%
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-04,75000,蔗糖,0.58,43500.00,12.11%
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-04,75000,糊精,0.37,27750.00,7.72%
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-04,75000,包装材料(复合膜袋+纸盒),0.77,57750.00,16.08%
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-05,78000,板蓝根,3.17,247260.00,64.04%
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-05,78000,蔗糖,0.60,46800.00,12.12%
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-05,78000,糊精,0.39,30420.00,7.88%
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-05,78000,包装材料(复合膜袋+纸盒),0.79,61620.00,15.96%
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-06,70000,板蓝根,3.08,215600.00,64.17%
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-06,70000,蔗糖,0.58,40600.00,12.08%
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-06,70000,糊精,0.38,26600.00,7.92%
