工厂,产品名称,产品规格,月份,产量(盒),费用类别,单位费用(元/盒),费用总额(元)
中药一厂,银黄口服液,10ml×10支/盒,2026-01,45000,折旧费,0.82,36900.0
中药一厂,银黄口服液,10ml×10支/盒,2026-01,45000,动力费(水电气),0.55,24750.0
中药一厂,银黄口服液,10ml×10支/盒,2026-01,45000,人工(间接),0.48,21600.0
中药一厂,银黄口服液,10ml×10支/盒,2026-01,45000,检验费,0.25,11250.0
中药一厂,银黄口服液,10ml×10支/盒,2026-01,45000,其他制造费用,0.25,11250.0
中药一厂,银黄口服液,10ml×10支/盒,2026-02,38000,折旧费,0.84,31920.0
中药一厂,银黄口服液,10ml×10支/盒,2026-02,38000,动力费(水电气),0.57,21660.0
中药一厂,银黄口服液,10ml×10支/盒,2026-02,38000,人工(间接),0.49,18620.0
中药一厂,银黄口服液,10ml×10支/盒,2026-02,38000,检验费,0.25,9500.0
中药一厂,银黄口服液,10ml×10支/盒,2026-02,38000,其他制造费用,0.25,9500.0
中药一厂,银黄口服液,10ml×10支/盒,2026-03,52000,折旧费,0.8,41600.0
中药一厂,银黄口服液,10ml×10支/盒,2026-03,52000,动力费(水电气),0.53,27560.0
中药一厂,银黄口服液,10ml×10支/盒,2026-03,52000,人工(间接),0.46,23920.0
中药一厂,银黄口服液,10ml×10支/盒,2026-03,52000,检验费,0.24,12480.0
中药一厂,银黄口服液,10ml×10支/盒,2026-03,52000,其他制造费用,0.25,13000.0
中药一厂,银黄口服液,10ml×10支/盒,2026-04,55000,折旧费,0.81,44550.0
中药一厂,银黄口服液,10ml×10支/盒,2026-04,55000,动力费(水电气),0.54,29700.0
中药一厂,银黄口服液,10ml×10支/盒,2026-04,55000,人工(间接),0.47,25850.0
中药一厂,银黄口服液,10ml×10支/盒,2026-04,55000,检验费,0.25,13750.0
中药一厂,银黄口服液,10ml×10支/盒,2026-04,55000,其他制造费用,0.25,13750.0
中药一厂,银黄口服液,10ml×10支/盒,2026-05,58000,折旧费,0.83,48140.0
中药一厂,银黄口服液,10ml×10支/盒,2026-05,58000,动力费(水电气),0.56,32480.0
中药一厂,银黄口服液,10ml×10支/盒,2026-05,58000,人工(间接),0.48,27840.0
中药一厂,银黄口服液,10ml×10支/盒,2026-05,58000,检验费,0.26,15080.0
中药一厂,银黄口服液,10ml×10支/盒,2026-05,58000,其他制造费用,0.25,14500.0
中药一厂,银黄口服液,10ml×10支/盒,2026-06,50000,折旧费,0.8,40000.0
