工厂,产品名称,产品规格,月份,产量(盒),原材料名称,单位消耗成本(元/盒),原材料总成本(元),占总材料成本比例
中药一厂,银黄口服液,10ml×10支/盒,2026-01,45000,金银花,3.2,144000.0,46.9%
中药一厂,银黄口服液,10ml×10支/盒,2026-01,45000,黄芩提取物,2.1,94500.0,30.7%
中药一厂,银黄口服液,10ml×10支/盒,2026-01,45000,蔗糖,0.45,20250.0,6.6%
中药一厂,银黄口服液,10ml×10支/盒,2026-01,45000,苯甲酸钠,0.15,6750.0,2.2%
中药一厂,银黄口服液,10ml×10支/盒,2026-01,45000,纯化水,0.08,3600.0,1.2%
中药一厂,银黄口服液,10ml×10支/盒,2026-01,45000,包装材料(盒+说明书),0.85,38250.0,12.4%
中药一厂,银黄口服液,10ml×10支/盒,2026-02,38000,金银花,3.25,123500.0,47.0%
中药一厂,银黄口服液,10ml×10支/盒,2026-02,38000,黄芩提取物,2.12,80560.0,30.6%
中药一厂,银黄口服液,10ml×10支/盒,2026-02,38000,蔗糖,0.46,17480.0,6.6%
中药一厂,银黄口服液,10ml×10支/盒,2026-02,38000,苯甲酸钠,0.15,5700.0,2.2%
中药一厂,银黄口服液,10ml×10支/盒,2026-02,38000,纯化水,0.08,3040.0,1.2%
中药一厂,银黄口服液,10ml×10支/盒,2026-02,38000,包装材料(盒+说明书),0.86,32680.0,12.4%
中药一厂,银黄口服液,10ml×10支/盒,2026-03,52000,金银花,3.18,165360.0,47.0%
中药一厂,银黄口服液,10ml×10支/盒,2026-03,52000,黄芩提取物,2.08,108160.0,30.7%
中药一厂,银黄口服液,10ml×10支/盒,2026-03,52000,蔗糖,0.44,22880.0,6.5%
中药一厂,银黄口服液,10ml×10支/盒,2026-03,52000,苯甲酸钠,0.15,7800.0,2.2%
中药一厂,银黄口服液,10ml×10支/盒,2026-03,52000,纯化水,0.08,4160.0,1.2%
中药一厂,银黄口服液,10ml×10支/盒,2026-03,52000,包装材料(盒+说明书),0.84,43680.0,12.4%
中药一厂,银黄口服液,10ml×10支/盒,2026-04,55000,金银花,3.35,184250.0,47.3%
中药一厂,银黄口服液,10ml×10支/盒,2026-04,55000,黄芩提取物,2.15,118250.0,30.4%
中药一厂,银黄口服液,10ml×10支/盒,2026-04,55000,蔗糖,0.47,25850.0,6.6%
中药一厂,银黄口服液,10ml×10支/盒,2026-04,55000,苯甲酸钠,0.16,8800.0,2.3%
中药一厂,银黄口服液,10ml×10支/盒,2026-04,55000,纯化水,0.08,4400.0,1.1%
中药一厂,银黄口服液,10ml×10支/盒,2026-04,55000,包装材料(盒+说明书),0.87,47850.0,12.3%
中药一厂,银黄口服液,10ml×10支/盒,2026-05,58000,金银花,3.5,203000.0,47.9%
中药一厂,银黄口服液,10ml×10支/盒,2026-05,58000,黄芩提取物,2.2,127600.0,30.1%
