工厂,产品名称,产品规格,月份,产量(盒),直接材料(元/盒),直接人工(元/盒),制造费用(元/盒),单位成本(元/盒),总成本(元)
中药二厂,银黄口服液,10ml×10支/盒,2025-01,36000,6.8,1.7,2.52,11.02,396720.0
中药二厂,银黄口服液,10ml×10支/盒,2025-02,30400,6.88,1.73,2.58,11.19,340176.0
中药二厂,银黄口服液,10ml×10支/盒,2025-03,39900,6.73,1.66,2.46,10.85,432915.0
中药二厂,银黄口服液,10ml×10支/盒,2025-04,42800,6.82,1.68,2.5,11.0,470800.0
中药二厂,银黄口服液,10ml×10支/盒,2025-05,45600,6.87,1.71,2.56,11.14,507984.0
中药二厂,银黄口服液,10ml×10支/盒,2025-06,39900,6.81,1.68,2.48,10.97,437703.0
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-01,64600,4.6,1.16,1.8,7.56,488376.0
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-02,55100,4.66,1.19,1.83,7.68,423168.0
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-03,68400,4.52,1.13,1.75,7.4,506160.0
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-04,71300,4.55,1.15,1.78,7.48,533324.0
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-05,74100,4.6,1.17,1.81,7.58,561678.0
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-06,66500,4.56,1.15,1.77,7.48,497420.0
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-01,23800,12.78,2.33,3.32,18.43,438634.0
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-02,20900,12.95,2.38,3.37,18.7,390830.0
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-03,26600,12.55,2.26,3.25,18.06,480396.0
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-04,28500,12.72,2.3,3.29,18.31,521835.0
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-05,30400,12.82,2.34,3.35,18.51,562704.0
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-06,26600,12.7,2.3,3.27,18.27,485982.0
