工厂,产品名称,产品规格,月份,产量(盒),直接材料(元/盒),直接人工(元/盒),制造费用(元/盒),单位成本(元/盒),总成本(元),月序,上月单位成本,环比变动额,环比变动率,去年_单位成本(元/盒),去年_直接材料(元/盒),去年_直接人工(元/盒),去年_制造费用(元/盒),同比变动额,同比变动率,预算单位成本(元/盒),预算直接材料(元/盒),预算直接人工(元/盒),预算制造费用(元/盒),预算偏差额,预算偏差率,二厂_单位成本(元/盒),二厂_直接材料(元/盒),二厂_直接人工(元/盒),二厂_制造费用(元/盒),对标差异额,对标差异率,直接材料_环比变动额,直接材料_环比贡献率,直接人工_环比变动额,直接人工_环比贡献率,制造费用_环比变动额,制造费用_环比贡献率
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-01,32000,12.18,2.1,3.05,17.33,554560.0,1,,,,17.23,12.12,2.08,3.03,0.09999999999999787,0.005803830528148454,17.1,12.1,2.06,2.94,0.22999999999999687,0.013450292397660634,18.55,12.85,2.35,3.35,-1.2200000000000024,-0.06576819407008098,,,,,,
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-02,28000,12.35,2.15,3.1,17.6,492800.0,2,17.33,0.2700000000000031,0.01557991921523388,17.49,12.28,2.13,3.08,0.11000000000000298,0.0062893081761008,17.1,12.1,2.06,2.94,0.5,0.029239766081871343,18.82,13.02,2.4,3.4,-1.2199999999999989,-0.0648246546227417,0.16999999999999993,0.6296296296296221,0.04999999999999982,0.18518518518518237,0.050000000000000266,0.18518518518518404
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-03,35000,11.99,2.05,2.98,17.02,595700.0,3,17.6,-0.5800000000000018,-0.032954545454545556,16.92,11.93,2.03,2.96,0.09999999999999787,0.005910165484633443,17.1,12.1,2.06,2.94,-0.08000000000000185,-0.004678362573099523,18.18,12.62,2.28,3.28,-1.1600000000000001,-0.06380638063806382,-0.35999999999999943,0.6206896551724108,-0.10000000000000009,0.17241379310344787,-0.1200000000000001,0.20689655172413746
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-04,38000,12.54,2.08,3.02,17.64,670320.0,4,17.02,0.620000000000001,0.03642773207990605,17.16,12.1,2.06,3.0,0.4800000000000004,0.027972027972027996,17.1,12.1,2.06,2.94,0.5399999999999991,0.031578947368421,18.85,13.21,2.32,3.32,-1.2100000000000009,-0.06419098143236078,0.5499999999999989,0.8870967741935453,0.03000000000000025,0.04838709677419387,0.040000000000000036,0.06451612903225802
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-05,40000,12.89,2.12,3.08,18.09,723600.0,5,17.64,0.4499999999999993,0.025510204081632612,17.38,12.22,2.1,3.06,0.7100000000000009,0.04085155350978141,17.1,12.1,2.06,2.94,0.9899999999999984,0.057894736842105166,19.29,13.55,2.36,3.38,-1.1999999999999993,-0.062208398133748025,0.3500000000000014,0.7777777777777821,0.040000000000000036,0.08888888888888911,0.06000000000000005,0.13333333333333366
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-06,35000,12.49,2.08,3.0,17.57,614950.0,6,18.09,-0.5199999999999996,-0.02874516307352126,17.11,12.07,2.06,2.98,0.46000000000000085,0.026884862653419103,17.1,12.1,2.06,2.94,0.46999999999999886,0.027485380116958995,18.77,13.15,2.32,3.3,-1.1999999999999993,-0.06393180607352154,-0.40000000000000036,0.7692307692307705,-0.040000000000000036,0.07692307692307705,-0.08000000000000007,0.1538461538461541
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-01,85000,4.42,1.05,1.65,7.12,605200.0,1,,,,7.04,4.38,1.03,1.63,0.08000000000000007,0.011363636363636374,7.0,4.38,1.02,1.6,0.1200000000000001,0.017142857142857158,7.64,4.64,1.18,1.82,-0.5199999999999996,-0.06806282722513084,,,,,,
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-02,72000,4.49,1.08,1.68,7.25,522000.0,2,7.12,0.1299999999999999,0.01825842696629212,7.17,4.45,1.06,1.66,0.08000000000000007,0.011157601115760122,7.0,4.38,1.02,1.6,0.25,0.03571428571428571,7.77,4.71,1.21,1.85,-0.5199999999999996,-0.06692406692406687,0.07000000000000028,0.5384615384615411,0.030000000000000027,0.23076923076923117,0.030000000000000027,0.23076923076923117
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-03,95000,4.34,1.02,1.6,6.96,661200.0,3,7.25,-0.29000000000000004,-0.04000000000000001,6.88,4.3,1.0,1.58,0.08000000000000007,0.011627906976744196,7.0,4.38,1.02,1.6,-0.040000000000000036,-0.0057142857142857195,7.48,4.56,1.15,1.77,-0.5200000000000005,-0.06951871657754016,-0.15000000000000036,0.517241379310346,-0.06000000000000005,0.2068965517241381,-0.07999999999999985,0.2758620689655167
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-04,98000,4.57,1.04,1.63,7.24,709520.0,4,6.96,0.28000000000000025,0.0402298850574713,6.99,4.36,1.02,1.61,0.25,0.035765379113018594,7.0,4.38,1.02,1.6,0.2400000000000002,0.034285714285714315,7.76,4.79,1.17,1.8,-0.5199999999999996,-0.06701030927835046,0.23000000000000043,0.8214285714285722,0.020000000000000018,0.07142857142857142,0.029999999999999805,0.10714285714285635
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-05,102000,4.75,1.06,1.66,7.47,761940.0,5,7.24,0.22999999999999954,0.031767955801104905,7.1,4.42,1.04,1.64,0.3700000000000001,0.05211267605633805,7.0,4.38,1.02,1.6,0.46999999999999975,0.0671428571428571,7.97,4.95,1.19,1.83,-0.5,-0.06273525721455459,0.17999999999999972,0.7826086956521743,0.020000000000000018,0.08695652173913068,0.030000000000000027,0.13043478260869604
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-06,90000,4.6,1.04,1.62,7.26,653400.0,6,7.47,-0.20999999999999996,-0.028112449799196783,7.0,4.38,1.02,1.6,0.2599999999999998,0.03714285714285711,7.0,4.38,1.02,1.6,0.2599999999999998,0.03714285714285711,7.76,4.8,1.17,1.79,-0.5,-0.06443298969072166,-0.15000000000000036,0.7142857142857161,-0.020000000000000018,0.09523809523809534,-0.039999999999999813,0.19047619047618963
中药一厂,银黄口服液,10ml×10支/盒,2026-01,45000,6.83,1.52,2.35,10.7,481500.0,1,,,,10.61,6.78,1.5,2.33,0.08999999999999986,0.008482563619227132,10.6,6.8,1.5,2.3,0.09999999999999964,0.00943396226415091,11.11,6.84,1.72,2.55,-0.41000000000000014,-0.036903690369036915,,,,,,
中药一厂,银黄口服液,10ml×10支/盒,2026-02,38000,6.92,1.55,2.4,10.87,413060.0,2,10.7,0.16999999999999993,0.015887850467289712,10.77,6.86,1.53,2.38,0.09999999999999964,0.00928505106778084,10.6,6.8,1.5,2.3,0.2699999999999996,0.025471698113207507,11.29,6.94,1.75,2.6,-0.41999999999999993,-0.03720106288751107,0.08999999999999986,0.5294117647058817,0.030000000000000027,0.17647058823529435,0.04999999999999982,0.2941176470588226
